;ID;Context/Box;Blank Type;Completeness;Blade/Bladelet Type;Max. Length (mm);Max. Width (mm);Max. Thickness (mm);Platform Type;Platform width (mm);Platform depth (mm);Dorsal reduction;Bulb;Distal configuration;Product Type;Axiality;Longitudinal cross-section;Blank cross-section;Dorsal triangular scars smaller than obtained product;Dorsal hinged scars smaller than obtained product;Retouch;Cortext/natural surface (in general);Cortical piece (>50%);Other comments
;1259;An2-2013-Ob1-Pos1;Blade;Proximal;n/a;n/a;37;12;Plain;22;12;Abrasion;Pronounced;n/a;Target central product;In-axis;Straight;Trapezoidal;No;No;Distal straight endscraper;0;0;Straight (non-curved) endscraper on advanced Type 2 or 3 blade with more or less parallel dorsal ridges
;1560;An2-2015-Ob2;Triangular Point;Complete;Type 1;99;44;17;Partially Faceted;25;6;Abrasion+Flaking;Pronounced;Acute pointed;Lateral product;Off-axis right;Curved;Trapezoidal;No;Yes;Left proximal-lateral retouch and right distal-lateral retouch plus right-lateral use-wear (large knife);1;0;"Large knife on early technical product; small cortext left lateral-distal"
;1252;An2-2013-Ob1-Pos1;Blade;Complete;Type 4;97;37;15;Plain;23;9;Absent;Diffuse;Irregular;Overpass;Off-axis right;Twisted;Trapezoidal;No;No;None;1;0;Lateral early overpass blade with ca 30% lateral cortex
;1009;An2-2013-Ob1-Pos1;Blade;Complete;Type 3;92;27;7;Plain;17;8;Flaking;Diffuse;Acute pointed;Overpass;In-axis;Twisted;Trapezoidal;Yes;Yes;None;0;0;Good EXAMPLE of a central overpass blade with complex dorsal scar pattern and convergent distal end
;1628;An2-2013-Ob1-Pos1;Blade;Complete;Type 4;69;33;15;Plain;15;7;Absent;Non-visible;Straight;Overpass;In-axis;Curved;Trapezoidal;Yes;No;None;0;0;"Typical T-shaped overpass blade to clear the overly buldged and complex reduction surface; bidirectional scar patterns documenting foregoing attempts to do the same via normal flaking!"
;3047;An2-2013-Ob1-Pos1;Blade;Complete;Type 4;55;34;13;Plain;23;23;Abrasion+Flaking;Diffuse;Straight;Preparatory;Off-axis right;Hinged;Trapezoidal;Yes;No;None;0;0;Partial distal crest (crested blade) with central hinged intercalated bladelet scar, overshoot, intention clearly to clear the reduction surface
;1513;An2-2013-Ob1-Pos1;Blade;Complete;Type 4;57;26;11;Plain;11;5;Flaking;Diffuse;Irregular;Preparatory;In-axis;Hinged;Trapezoidal;Yes;No;None;0;0;Super strongly hingend (convex dorsal crosssection) correction blade to clear the main reduction face from the opposite site (distal central and lateral bladelet and triangular removals documented)
;1233;An2-2015-Ob2;Blade;Complete;Type 4;83;23;16;Plain;12;9;Abrasion+Flaking;Diffuse;Straight;Overpass;In-axis;Curved;Trapezoidal;No;No;None;0;0;Steep edged overshoot piece from the intersection of the narrow and broad reduction surface (in fact perhaps the most CLASSICAL piece of this type I have seen so far)
;1547;An2-2015-Ob2;Blade;Complete;Type 4;97;32;15;Partially Faceted;17;7;Absent;Diffuse;Straight;Overpass;In-axis;Curved;Trapezoidal;Yes;No;None;1;0;Natural surface at the distal overshoot, GOOD EXAMPLE of overshoot blade with intercalated production negatives on dorsal face
;1617;An2-2015-Ob2;Blade;Complete;Type 3;53;19;7;Plain;16;7;Absent;Diffuse;Acute pointed;Target central product;In-axis;Straight;Triangular;Yes;No;None;0;0;Elongated intercalated product with small triangular dorsal negative
;1517;"An2-2015-Ob2-Pos1 (""area 2 surface"")";Blade;Complete;Type 4;65;24;15;Cortical/Natural Surface;11;5;Absent;Diffuse;Straight;Overpass;Off-axis right;Twisted;Triangular;No;Yes;None;0;0;Overshoot blade from the intersection of narrow and broad reduction face (with previous hinged attempt on dorsal face to exploit the natural edgea and remove a triangular bladelet)
